,Unnamed: 0,house_number,street,zipcode,boro,latitude,longitude,type_of_violation,status,year_of_violation,med_income,rich
0,0,231,ECHO PLACE,10457,BRONX,40.849717999999996,-73.90455,maintenance code violation,Open,2013,28148.16,0
1,1,77-54,AUSTIN STREET,11375,QUEENS,40.714368,-73.83521800000001,maintenance code violation,Close,2013,81232.41,1
2,2,77-54,AUSTIN STREET,11375,QUEENS,40.714368,-73.83521800000001,maintenance code violation,Close,2013,81232.41,1
3,3,2136,MAPES AVENUE,10460,BRONX,40.847751,-73.884561,maintenance code violation,Close,2015,25798.56,0
4,4,129,SENECA STREET,10310,STATEN ISLAND,40.631619,-74.117918,maintenance code violation,Close,2013,69865.51,1
5,5,129,SENECA STREET,10310,STATEN ISLAND,40.631619,-74.117918,maintenance code violation,Close,2013,69865.51,1
6,6,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,Open,2013,59059.34,1
7,7,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,Open,2013,59059.34,1
8,8,1141,TIFFANY STREET,10459,BRONX,40.82683,-73.894964,maintenance code violation,Close,2013,27597.58,0
9,9,1141,TIFFANY STREET,10459,BRONX,40.82683,-73.894964,maintenance code violation,Close,2013,27597.58,0
10,10,1141,TIFFANY STREET,10459,BRONX,40.82683,-73.894964,maintenance code violation,Close,2013,27597.58,0
11,11,1141,TIFFANY STREET,10459,BRONX,40.82683,-73.894964,maintenance code violation,Close,2013,27597.58,0
12,12,1141,TIFFANY STREET,10459,BRONX,40.82683,-73.894964,maintenance code violation,Close,2013,27597.58,0
13,13,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,Open,2013,59059.34,1
14,14,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,Open,2013,59059.34,1
15,15,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,Open,2013,59059.34,1
16,16,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,Close,2014,58007.62,0
17,17,2913,MIDDLETOWN ROAD,10461,BRONX,40.843576,-73.83252,maintenance code violation,Close,2013,59059.34,1
18,18,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,Open,2014,58007.62,0
19,19,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,Open,2014,58007.62,0
20,20,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,Open,2014,58007.62,0
21,21,192,NAGLE AVENUE,10034,MANHATTAN,40.862034,-73.923563,maintenance code violation,Close,2015,47332.0,0
22,22,192,NAGLE AVENUE,10034,MANHATTAN,40.862034,-73.923563,maintenance code violation,Close,2015,47332.0,0
23,23,1744,MERRILL STREET,10460,BRONX,40.836665999999994,-73.869713,maintenance code violation,Close,2021,31504.0,0
24,24,465,WEST 152 STREET,10031,MANHATTAN,40.829134,-73.943146,maintenance code violation,Close,2021,57180.0,0
25,25,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,Open,2014,58007.62,0
26,26,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,Close,2014,58007.62,0
27,27,265,EAST 78 STREET,10075,MANHATTAN,40.773035,-73.95642600000001,maintenance code violation,Close,2014,116151.84,1
28,28,265,EAST 78 STREET,10075,MANHATTAN,40.773035,-73.95642600000001,maintenance code violation,Close,2014,116151.84,1
29,29,37-40,81 STREET,11372,QUEENS,40.749307,-73.885187,maintenance code violation,Close,2021,62910.0,0
30,30,1215,AVENUE N,11230,BROOKLYN,40.615347,-73.962133,maintenance code violation,Close,2021,61017.0,0
31,31,888,EAST 96 STREET,11236,BROOKLYN,40.648016999999996,-73.906903,maintenance code violation,Close,2014,66787.06,1
32,32,364,LINCOLN PLACE,11238,BROOKLYN,40.67304,-73.96409399999999,maintenance code violation,Close,2021,114427.0,1
33,33,379,MENAHAN STREET,11237,BROOKLYN,40.701836,-73.913454,maintenance code violation,Close,2021,65908.0,0
34,34,1726,AMSTERDAM AVENUE,10031,MANHATTAN,40.825515,-73.947413,maintenance code violation,Close,2014,42578.9,0
35,35,195,MADISON STREET,10002,MANHATTAN,40.712608,-73.990549,maintenance code violation,Close,2021,37093.0,0
36,36,454,BARRETT AVENUE,10473,BRONX,40.815857,-73.854685,maintenance code violation,Close,2014,40791.92,0
37,37,109,EAST 153 STREET,10451,BRONX,40.823932,-73.928033,maintenance code violation,Close,2013,30184.61,0
38,38,2031,OCEAN AVENUE,11230,BROOKLYN,40.612377,-73.953858,maintenance code violation,Open,2019,55368.89,0
